title_id,japanese_name,chinese_name
0100a5c00d162000,Cuphead,茶杯头
010095a011a14000,Deadly Days,致命之日
0100bbf011394000,Dicey Dungeons,骰子地下城
0100c3c015738000,Fall Guys,糖豆人
0100535012974000,HADES,哈迪斯
0100559011740000,MONSTER HUNTER RISE,怪物猎人Rise
0100ea80032ea000,New スーパーマリオブラザーズ U デラックス,新超级马里奥兄弟U豪华版
010061d00db74000,Ori and the Blind Forest: Definitive Edition,奥日与黑暗森林：终极版
010093f00e818000,Tools Up!,Tools Up!
010074f013262000,Xenoblade3,异度神剑3
01006f8002326000,あつまれ どうぶつの森,集合啦动物森友会
0100c2500fc20000,スプラトゥーン3,Splatoon3
0100000000010000,スーパーマリオ オデッセイ,超级马里奥奥德赛
010028600ebda000,スーパーマリオ ３Ｄワールド ＋ フューリーワールド,超级马里奥3D世界+马里奥3D乐园
010015100b514000,スーパーマリオブラザーズ ワンダー,超级马里奥惊奇
01009b90006dc000,スーパーマリオメーカー 2,超级马里奥制造2
0100f3400332c000,ゼノブレイド２,异度神剑2
01008cf01baac000,ゼルダの伝説 知恵のかりもの,塞尔达传说 智慧的再现
0100f2c0115b6000,ゼルダの伝説　ティアーズ オブ ザ キングダム,塞尔达传说 王国之泪
01007ef00011e000,ゼルダの伝説　ブレス オブ ザ ワイルド,塞尔达传说 荒野之息
0100b4b00f9f6000,プチコン4 体験版,Petit Computer 4 试用版
0100152000022000,マリオカート８ デラックス,马里奥赛车8豪华版
01002ff008c24000,リングフィット アドベンチャー,健身环大冒险
0100dca0064a6000,ルイージマンション３,路易吉洋馆3
01006a800016e000,大乱闘スマッシュブラザーズ SPECIAL,任天堂明星大乱斗特别版
01004d300c5ae000,星のカービィ　ディスカバリー,星之卡比 探索发现
0100cb000a142000,逆転裁判123 成歩堂セレクション,逆转裁判123 成步堂精选
